City part,Street,Size (m²),Price,PSQMY,Lower,Number of rooms,Floor,Number of floors,Built year,Renovation years,Renovations,Construction type,Heating type,Refurbishment,Features,Extra areas,Extra stuff,Security,URL
Naujamiestyje,Švitrigailos ,28,310,132.84,FALSE,1,3,5,1975,0,FALSE,Mūrinis,Centrinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-svitrigailos-g-nuomojamas-sviesus-1-kambario-butas-4-840765/
Naujamiestyje,Švitrigailos ,28,310,132.84,FALSE,1,3,5,1975,0,FALSE,Mūrinis,Centrinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-svitrigailos-g-nuomojamas-tvarkingas-1-kambario-butas-4-836209/
Pašilaičiuose,Pavilnionių ,33,365,132.72,FALSE,2,2,7,2016,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-pavilnioniu-g-be-tarpininku-naujos-statybos-name-4-840893/
Senamiestyje,Savičiaus ,66,730,132.72,FALSE,3,3,3,1901,0,FALSE,Mūrinis,Dujinis,Įrengtas,"Aukštos lubos, internetas, kabelinė televizija",Vieta automobiliui,"Židinys, dušo kabina, virtuvės komplektas, skalbimo mašina, su baldais, šaldytuvas, viryklė","Kodinė laiptinės spyna, šarvuotos durys",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-saviciaus-g-nuomojamas-isskirtinis-butas-isskirtiniame-4-833635/
Senamiestyje,Savičiaus ,66,730,132.72,FALSE,3,3,3,1901,0,FALSE,Mūrinis,Dujinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-saviciaus-g-nuomojamas-itin-sviesus-ir-jaukus-pacioje-4-823997/
Naujamiestyje,Kauno ,38,420,132.6,FALSE,1,3,6,2016,0,FALSE,Blokinis,Centrinis kolektorinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-kauno-g-nuomojamas-itin-kokybiskai-irengtas-1-k-4-839003/
Senamiestyje,Subačiaus ,77,850,132.48,FALSE,3,1,3,2005,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Aukštos lubos, internetas, virtuvė sujungta su kambariu",,"Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, indaplovė","Šarvuotos durys, kodinė laiptinės spyna, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-subaciaus-g-nuomojamas-isskirtinis-kokybiskai-irengtas-3-4-837347/
Senamiestyje,Gedimino p,118,1300,132.24,FALSE,3,5,5,1940,0,FALSE,Mūrinis,"Kita, elektra",Įrengtas,"Internetas, nauja kanalizacija, kabelinė televizija, nauja elektros instaliacija, butas per kelis aukštus, uždaras kiemas, aukštos lubos",,"Skalbimo mašina, su baldais, virtuvės komplektas, viryklė, šaldytuvas, židinys, vonia",Šarvuotos durys,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-gedimino-pr-isnuomojami-visiskai-naujai-irengti-3-4-809961/
Žvėryne,D. Poškos ,65.86,725,132.12,TRUE,3,1,2,1909,0,FALSE,Medinis,Dujinis,Įrengtas,"Atskiras įėjimas, aukštos lubos, nauja kanalizacija, nauja elektros instaliacija, virtuvė sujungta su kambariu","Sandėliukas, terasa, rūsys, vieta automobiliui, drabužinė","Skalbimo mašina, su baldais, šaldytuvas, šildomos grindys, virtuvės komplektas, viryklė, plastikiniai vamzdžiai, dušo kabina",Signalizacija,http://www.aruodas.lt/butu-nuoma-vilniuje-zveryne-d-poskos-g-domina-tik-ilgalaikes-nuomos-pasiulymai-4-826253/
Pavilnyje,Švarioji ,50,550,132,FALSE,2,2,3,2018,0,FALSE,Mūrinis,Dujinis,Įrengtas,Uždaras kiemas,"Terasa, vieta automobiliui","Skalbimo mašina, su baldais, šaldytuvas, šildomos grindys, viryklė, indaplovė, vonia","Šarvuotos durys, kodinė laiptinės spyna, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-pavilnyje-svarioji-g--nuomojami-2-3-kambariu-butai-vaizdingoje-ir-4-835157/
Žirmūnuose,Kareivių ,52.73,580,132,TRUE,3,12,16,2007,0,FALSE,Kita,Centrinis kolektorinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-kareiviu-g-isnuomojamas-kokybiskai-irengtas-su-visais-4-839645/
Šeškinėje,Fabijoniškių ,50,550,132,FALSE,2,3,7,2017,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Aukštos lubos, nauja kanalizacija, nauja elektros instaliacija, uždaras kiemas, internetas, kabelinė televizija, virtuvė sujungta su kambariu","Balkonas, vieta automobiliui, drabužinė","Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, plastikiniai vamzdžiai, indaplovė, vonia","Šarvuotos durys, kodinė laiptinės spyna, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-seskineje-fabijoniskiu-g-isnuomojamas-iki-siol-negyventas-butas-naujai-4-794853/
Fabijoniškėse,Fabijoniškių ,50,550,132,FALSE,2,3,7,2017,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Aukštos lubos, nauja kanalizacija, nauja elektros instaliacija, uždaras kiemas, internetas, kabelinė televizija, virtuvė sujungta su kambariu","Balkonas, vieta automobiliui, drabužinė","Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, plastikiniai vamzdžiai, indaplovė, vonia","Šarvuotos durys, kodinė laiptinės spyna, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-fabijoniskese-fabijoniskiu-g-isnuomojamas-iki-siol-negyventas-butas-naujai-4-794851/
Antakalnyje,Žolyno ,20,220,132,FALSE,1,0,5,1970,0,FALSE,Mūrinis,"Centrinis, centrinis kolektorinis",Įrengtas,"Nauja kanalizacija, nauja elektros instaliacija, internetas, kabelinė televizija, virtuvė sujungta su kambariu",Drabužinė,"Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, plastikiniai vamzdžiai, dušo kabina",Kodinė laiptinės spyna,http://www.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-zolyno-g-geras-pasiulymas-gera-kaina-4-831009/
Žvėryne,Stumbrų ,50,550,132,FALSE,2,2,6,2015,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-zveryne-stumbru-g-isnuomojamas-gerai-irengtas-2-kambariu-butas-4-823527/
Senamiestyje,Šv. Ignoto ,273,3000,131.88,FALSE,5,3,3,1700,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Aukštos lubos, butas per kelis aukštus, tualetas ir vonia atskirai, internetas, kabelinė televizija, virtuvė sujungta su kambariu","Balkonas, terasa","Kondicionierius, skalbimo mašina, su baldais, vonia","Signalizacija, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-sv-ignoto-g-isskirtiniai-apartamentai-vilniaus-4-771715/
Senamiestyje,Šv. Ignoto ,274,3000,131.4,FALSE,6,2,2,1940,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Butas per kelis aukštus, atskiras įėjimas","Balkonas, terasa, vieta automobiliui","Židinys, vonia, dušo kabina",Šarvuotos durys,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-sv-ignoto-g-isskirtiniai-apartamentai-virsutiniame-4-836157/
Pilaitėje,M. Mažvydo ,32,350,131.28,FALSE,1,1,9,2017,0,FALSE,Monolitinis,Centrinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-pilaiteje-m-mazvydo-g-isnuomojamas-32kvm-butas-pilaiteje-m-4-841033/
Pilaitėje,M. Mažvydo ,32,350,131.28,FALSE,1,4,9,2017,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-pilaiteje-m-mazvydo-g-isnuomojamas-vieno-kambario-jaukus-butas-su-4-835055/
Senamiestyje,A. Stulginskio ,160,1750,131.28,FALSE,5,5,5,1956,0,FALSE,Mūrinis,"Kita, centrinis kolektorinis",Įrengtas,"Nauja kanalizacija, kabelinė televizija, nauja elektros instaliacija, internetas, virtuvė sujungta su kambariu","Balkonas, terasa, vieta automobiliui","Šildomos grindys, viryklė, šaldytuvas, skalbimo mašina, su baldais, virtuvės komplektas, dušo kabina","Kodinė laiptinės spyna, šarvuotos durys",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-a-stulginskio-g-prabangus-erdvus-asmeninis-butas-centre-4-830591/
Naujamiestyje,Savanorių p,42.05,460,131.28,FALSE,2,9,9,2017,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-savanoriu-pr-isnuomojamas-naujai-irengtas-dar-4-817417/
Senamiestyje,Vinco Kudirkos ,54.87,600,131.16,FALSE,2,3,4,2000,0,FALSE,Mūrinis,Dujinis,Įrengtas,"Internetas, kabelinė televizija",,"Skalbimo mašina, su baldais, šildomos grindys, dušo kabina","Šarvuotos durys, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-vinco-kudirkos-g-isnuomojamas-sviesus-2-kambariu-butas-4-826943/
Naujamiestyje,Vinco Kudirkos ,54.87,600,131.16,FALSE,2,3,4,2000,0,FALSE,Mūrinis,Dujinis,Įrengtas,"Internetas, kabelinė televizija",,"Skalbimo mašina, su baldais, šildomos grindys, dušo kabina","Šarvuotos durys, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-vinco-kudirkos-g-isnuomojamas-sviesus-2-kambariu-butas-4-826941/
Naujamiestyje,Mindaugo ,54.85,599,131.04,FALSE,2,2,5,2007,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,"Kabelinė televizija, virtuvė sujungta su kambariu",Terasa,"Vonia, su baldais, skalbimo mašina","Kodinė laiptinės spyna, signalizacija",http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-mindaugo-g-nuomojamas-erdvus-funkcionalaus-isplanavimo-4-829327/
Senamiestyje,Didžioji ,110,1200,130.92,FALSE,4,3,3,1934,0,FALSE,Mūrinis,Elektra,Įrengtas,"Kabelinė televizija, internetas, virtuvė sujungta su kambariu",,"Su baldais, skalbimo mašina",Kodinė laiptinės spyna,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-didzioji-g-isnuomojamas-labai-jaukus-turintis-savo-aura-4-837879/
Žvėryne,Saltoniškių ,55,600,130.92,TRUE,2,8,10,2009,0,FALSE,Kita,Centrinis kolektorinis,Įrengtas,"Nauja elektros instaliacija, internetas, kabelinė televizija","Balkonas, vieta automobiliui, drabužinė","Skalbimo mašina, su baldais, šaldytuvas, šildomos grindys, viryklė, indaplovė, dušo kabina","Šarvuotos durys, kodinė laiptinės spyna, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-zveryne-saltoniskiu-g-nuo-sausio-men-isnuomojamas-naujos-statybos-4-685151/
Naujamiestyje,Savanorių p,55,600,130.92,TRUE,2,8,11,2008,0,FALSE,Kita,Centrinis kolektorinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-savanoriu-pr-nuo-sausio-men-nuomojams-jaukus-sviesus-4-677775/
Saulėtekyje,K. Semenavičiaus ,45.91,500,130.68,FALSE,2,3,4,2016,0,FALSE,Blokinis,Dujinis,Įrengtas,"Aukštos lubos, nauja kanalizacija, nauja elektros instaliacija, uždaras kiemas, internetas, kabelinė televizija, virtuvė sujungta su kambariu","Balkonas, vieta automobiliui, drabužinė","Skalbimo mašina, su baldais, šaldytuvas, šildomos grindys, viryklė, indaplovė, dušo kabina","Šarvuotos durys, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-sauletekyje-k-semenaviciaus-g-nuomojamas-jaukus-2k-butas-sauletekyje-k-4-831895/
Šnipiškėse,Piromonto ,46,500,130.44,FALSE,2,2,9,2017,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-piromonto-g-i-a-karta-isnuomojamas-labai-sviesus-2-4-838995/
Žvėryne,Pušų ,73.81,800,130.08,FALSE,2,3,3,2005,0,FALSE,Mūrinis,Centrinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-zveryne-pusu-g-isnuomojamas-stilingas-2-kambariu-butas-4-835735/
Antakalnyje,Olandų ,18.5,200,129.72,TRUE,1,2,5,1973,0,FALSE,Blokinis,Centrinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-olandu-g-isnuomuojamas-jaukus-tvarkingas-1-kambario-4-839045/
Senamiestyje,Klaipėdos ,37,400,129.72,TRUE,1,1,3,1940,0,FALSE,Mūrinis,Dujinis,Įrengtas,"Aukštos lubos, uždaras kiemas, internetas",Vieta automobiliui,"Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, dušo kabina",Šarvuotos durys,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-klaipedos-g-nuomojamas-jaukus-studio-tipo-butas-4-834777/
Senamiestyje,Šv. Stepono ,37,400,129.72,TRUE,1,5,5,2011,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-sv-stepono-g-itin-kokybiskai-irengtas-butas-su-drabuzine-4-832135/
Naujamiestyje,Šv. Stepono ,37,400,129.72,TRUE,1,5,5,2011,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-sv-stepono-g-itin-kokybiskai-irengtas-butas-su-drabuzine-4-832099/
Žirmūnuose,Apkasų ,25,270,129.6,FALSE,1,1,5,1986,0,FALSE,Mūrinis,Centrinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-apkasu-g-butas-tvarkingas-yra-skalbimo-masina-4-839685/
Senamiestyje,Pilies ,88,950,129.6,FALSE,3,2,3,1940,0,FALSE,Mūrinis,Centrinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-pilies-g-isnuomojamas-3-kambariu-88-m-butas-1940-m-4-838093/
Antakalnyje,Vytauto Žalakevičiaus ,51,550,129.36,FALSE,2,5,6,2016,0,FALSE,Blokinis,Centrinis kolektorinis,Įrengtas,"Nauja kanalizacija, nauja elektros instaliacija, uždaras kiemas, internetas, kabelinė televizija, virtuvė sujungta su kambariu","Sandėliukas, balkonas, terasa, vieta automobiliui, drabužinė","Skalbimo mašina, su baldais, šaldytuvas, šildomos grindys, virtuvės komplektas, viryklė, indaplovė, dušo kabina","Kodinė laiptinės spyna, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-vytauto-zalakeviciaus-g-2-kambariu-butas-su-pozeminiu-parkingu-4-839627/
Senamiestyje,A. Rotundo ,51,550,129.36,FALSE,2,5,5,2012,0,FALSE,Mūrinis,Dujinis,Įrengtas,"Aukštos lubos, butas palėpėje, nauja kanalizacija, nauja elektros instaliacija, uždaras kiemas, virtuvė sujungta su kambariu",Vieta automobiliui,"Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, vonia","Šarvuotos durys, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-a-rotundo-g--nuomoja-savininkas-jokiu-tarpininkavimo-4-835843/
Senamiestyje,Gedimino p,51,550,129.36,FALSE,2,5,5,2012,0,FALSE,Mūrinis,Dujinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-gedimino-pr-nuomojamas-suremontuotas-2k-butas-4-836921/
Šnipiškėse,Kernavės ,64,690,129.36,FALSE,3,3,7,2016,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,"Nauja kanalizacija, nauja elektros instaliacija, internetas, kabelinė televizija, virtuvė sujungta su kambariu","Balkonas, vieta automobiliui","Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, plastikiniai vamzdžiai, indaplovė","Šarvuotos durys, signalizacija, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-kernaves-g-nuomojamas-3-triju-kambariu-butas-4-829863/
Fabijoniškėse,Fabijoniškių ,65,700,129.24,FALSE,4,4,9,2017,0,FALSE,Mūrinis,"Centrinis kolektorinis, geoterminis",Įrengtas,"Aukštos lubos, tualetas ir vonia atskirai, nauja kanalizacija, nauja elektros instaliacija, uždaras kiemas, internetas, kabelinė televizija, virtuvė sujungta su kambariu","Balkonas, vieta automobiliui, drabužinė","Kondicionierius, skalbimo mašina, su baldais, šaldytuvas, šildomos grindys, virtuvės komplektas, viryklė, plastikiniai vamzdžiai, indaplovė, dušo kabina","Šarvuotos durys, signalizacija, kodinė laiptinės spyna, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-fabijoniskese-fabijoniskiu-g-demesio-nuo-rugsejo-1-d-isnuomojamas-labai-4-841017/
Senamiestyje,Gedimino p,65,700,129.24,FALSE,3,6,6,1960,0,FALSE,Mūrinis,Centrinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-gedimino-pr-isnuomojamas-jaukus-ir-patogus-3-ju-kambariu-4-838717/
Senamiestyje,Gynėjų ,65,700,129.24,FALSE,2,7,9,2006,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,"Virtuvė sujungta su kambariu, internetas, kabelinė televizija","Terasa, balkonas","Vonia, virtuvės komplektas, su baldais, skalbimo mašina, indaplovė, šaldytuvas, viryklė, plastikiniai vamzdžiai","Videokameros, šarvuotos durys, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-gyneju-g-isnuomojamas-erdvus-ir-sviesus-kokybiskai-4-838771/
Žirmūnuose,Tuskulėnų ,32,344,129,TRUE,1,5,5,1965,0,FALSE,Blokinis,Centrinis,Įrengtas,"Kabelinė televizija, internetas, tualetas ir vonia atskirai, nauja elektros instaliacija",Sandėliukas,"Su baldais, skalbimo mašina, šaldytuvas, virtuvės komplektas, vonia",Kodinė laiptinės spyna,http://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-tuskulenu-g-1k-butas-tuskulenu-g-15min-pestute-iki-4-835811/
Šnipiškėse,Šeimyniškių ,40,430,129,FALSE,1,1,11,1992,0,FALSE,Mūrinis,Centrinis,Įrengtas,Virtuvė sujungta su kambariu,Drabužinė,"Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, indaplovė, dušo kabina",Kodinė laiptinės spyna,http://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-seimyniskiu-g-nuomojamas-naujai-irengtas-butas-puikioje-4-791435/
Naujamiestyje,Algirdo ,42,450,128.52,FALSE,2,1,4,1965,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Nauja elektros instaliacija, uždaras kiemas, internetas, virtuvė sujungta su kambariu",Rūsys,"Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, plastikiniai vamzdžiai, dušo kabina","Šarvuotos durys, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-algirdo-g-nuomojamas-naujai-irengtas-butas-po-remonto-4-839271/
Viršuliškėse,Viršuliškių sk,42,450,128.52,FALSE,1,3,5,2015,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,"Atskiras įėjimas, nauja kanalizacija, nauja elektros instaliacija, uždaras kiemas, internetas, kabelinė televizija, virtuvė sujungta su kambariu","Sandėliukas, balkonas, vieta automobiliui, drabužinė","Su baldais, šaldytuvas, virtuvės komplektas, plastikiniai vamzdžiai, indaplovė, vonia","Šarvuotos durys, signalizacija, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-virsuliskese-virsuliskiu-skg-jaunatviskas-stilingas-solo-city-butelis-4-827955/
Naujininkuose,Panevėžio ,14,150,128.52,TRUE,1,4,5,1985,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,"Nauja kanalizacija, internetas, kabelinė televizija, virtuvė sujungta su kambariu",,"Skalbimo mašina, su baldais, šaldytuvas, plastikiniai vamzdžiai, vonia","Šarvuotos durys, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-naujininkuose-panevezio-g-renovuotame-name-salia-senamiescio-nuomojamas-4-840123/
Naujamiestyje,Mindaugo ,56,600,128.52,FALSE,2,4,7,2014,0,FALSE,Mūrinis,"Centrinis kolektorinis, kita",Įrengtas,"Internetas, kabelinė televizija, nauja kanalizacija, nauja elektros instaliacija, virtuvė sujungta su kambariu, uždaras kiemas","Vieta automobiliui, terasa, balkonas, sandėliukas","Šildomos grindys, šaldytuvas, indaplovė, virtuvės komplektas, plastikiniai vamzdžiai, skalbimo mašina, viryklė, su baldais, vonia, dušo kabina","Videokameros, signalizacija, budintis sargas, kodinė laiptinės spyna, šarvuotos durys",http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-mindaugo-g-isnuomojamas-naujas-puikiai-irengtas-2-4-838975/
Užupyje,Polocko ,51.36,550,128.52,FALSE,2,1,1,1940,0,FALSE,Mūrinis,Dujinis,Įrengtas,"Atskiras įėjimas, aukštos lubos",Vieta automobiliui,"Skalbimo mašina, su baldais, šaldytuvas, viryklė",,http://www.aruodas.lt/butu-nuoma-vilniuje-uzupyje-polocko-g-nuomojamas-naujai-irengtas-dar-negyventas-4-837789/
Senamiestyje,Šv. Jono ,84,900,128.52,FALSE,3,2,3,1940,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Internetas, kabelinė televizija, butas per kelis aukštus","Balkonas, vieta automobiliui","Skalbimo mašina, su baldais, virtuvės komplektas, viryklė, šaldytuvas, vonia, dušo kabina",Šarvuotos durys,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-sv-jono-g-isskirtinis-butas-senamiescio-sirdyje-sv-4-836141/
Pašilaičiuose,Žemynos ,28,300,128.52,FALSE,1,2,5,2010,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,"Internetas, kabelinė televizija",Balkonas,"Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, plastikiniai vamzdžiai","Šarvuotos durys, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-zemynos-g-bute-gyveno-tik-vienas-nuomininkas-butas-4-452522/
Šiaurės miestelyje,Apkasų ,14,150,128.52,FALSE,1,4,5,1970,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Nauja kanalizacija, nauja elektros instaliacija, internetas, kabelinė televizija",,"Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, plastikiniai vamzdžiai, vonia","Šarvuotos durys, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-siaures-miestelyje-apkasu-g-isnuomuojamas-vienas-kambarys-merginai-4-820557/
Senamiestyje,Šv. Jono ,84,900,128.52,FALSE,3,2,3,1940,0,FALSE,Mūrinis,Centrinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-sv-jono-g-isnuomojamas-3-kambariu-84-kvm-butas-4-820511/
Senamiestyje,A. Jakšto ,42,449,128.28,FALSE,2,1,5,1960,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Atskiras įėjimas, aukštos lubos, nauja elektros instaliacija, virtuvė sujungta su kambariu","Sandėliukas, vieta automobiliui, drabužinė","Skalbimo mašina, su baldais, šaldytuvas, šildomos grindys, virtuvės komplektas, viryklė, indaplovė, dušo kabina","Šarvuotos durys, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-a-jaksto-g-nuomojamas-dizainerio-irengtas-2-kambariu-4-841125/
Verkiuose,Verkių ,75,800,128.04,FALSE,2,1,4,2007,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-verkiuose-verkiu-g-verkiu-slenis-tai-prestizine-vilniaus-4-840049/
Senamiestyje,Gynėjų ,42,448,128.04,FALSE,1,4,5,1958,0,FALSE,Mūrinis,"Centrinis, kita, kietu kuru",Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-gyneju-g-buto-plotas-42-kv-m-nuomojams-4-834831/
Antakalnyje,M. K. Paco ,45,480,128.04,FALSE,2,2,3,1935,0,FALSE,Medinis,Dujinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-m-k-paco-g-2-kbutas-renovuotame-name-antakalnyje-4-700127/
Antakalnyje,T. Kosciuškos ,150,1600,128.04,FALSE,4,2,4,2010,0,FALSE,Mūrinis,"Kita, centrinis kolektorinis, centrinis",Įrengtas,Virtuvė sujungta su kambariu,"Terasa, vieta automobiliui",Vonia,,http://www.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-t-kosciuskos-g-isskirtinio-dizaino-prabangus-keturiu-4-836171/
Senamiestyje,T. Kosciuškos ,150,1600,128.04,FALSE,4,2,4,2010,0,FALSE,Mūrinis,"Kita, centrinis kolektorinis, centrinis",Įrengtas,Virtuvė sujungta su kambariu,"Terasa, vieta automobiliui",Vonia,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-t-kosciuskos-g-isskirtinio-dizaino-prabangus-keturiu-4-836169/
Šnipiškėse,Lvovo ,44,469,127.92,FALSE,2,1,2,1940,0,FALSE,Mūrinis,"Centrinis, kietu kuru",Įrengtas,"Aukštos lubos, nauja kanalizacija, nauja elektros instaliacija, uždaras kiemas, internetas, kabelinė televizija, virtuvė sujungta su kambariu",Vieta automobiliui,"Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, plastikiniai vamzdžiai, indaplovė, dušo kabina","Šarvuotos durys, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-lvovo-g-nuomojamas-azijos-salyse-praktikuojamo-4-828765/
Naujamiestyje,Mindaugo ,47,500,127.68,FALSE,2,2,8,2007,0,FALSE,Mūrinis,Centrinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-mindaugo-g-naujamiestyje-mindaugo-gatveje-isnuomojamas-4-836395/
Senamiestyje,Šv. Mikalojaus ,65,690,127.44,FALSE,2,1,4,1930,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Uždaras kiemas, internetas, kabelinė televizija","Sandėliukas, rūsys, vieta automobiliui","Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, vonia",,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-sv-mikalojaus-g-jaukus-naujai-suremontuotas-butas-4-838127/
Karoliniškėse,Vido Maciulevičiaus ,33,350,127.32,FALSE,1,2,5,1979,0,FALSE,Blokinis,Centrinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-karoliniskese-vido-maciuleviciaus-g-ilgesniam-laikui-nuomojamas-tvarkingas-vieno-4-828103/
