City part,Street,Size (m²),Price,PSQMY,Lower,Number of rooms,Floor,Number of floors,Built year,Renovation years,Renovations,Construction type,Heating type,Refurbishment,Features,Extra areas,Extra stuff,Security,URL
Užupyje,Polocko ,67.3,1500,267.48,FALSE,3,3,3,2016,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,"Aukštos lubos, butas per kelis aukštus, uždaras kiemas, internetas, virtuvė sujungta su kambariu","Sandėliukas, terasa, vieta automobiliui","Su baldais, šaldytuvas, indaplovė","Šarvuotos durys, signalizacija, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-uzupyje-polocko-g-nuo-rugsejo-4-d-2018-m-isnuomojami-4-827859/
Senamiestyje,Žemaitijos ,16,350,262.56,FALSE,1,1,2,1940,0,FALSE,Mūrinis,Kita,Įrengtas,"Atskiras įėjimas, uždaras kiemas, internetas, nauja kanalizacija, nauja elektros instaliacija",Vieta automobiliui,"Židinys, šildomos grindys, su baldais, skalbimo mašina, šaldytuvas, viryklė, dušo kabina",Šarvuotos durys,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-zemaitijos-g-jauki-kisenele-mazas-butukas-vilniaus-4-840251/
Senamiestyje,Didžioji ,70,1500,257.16,TRUE,3,3,4,1940,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Nauja kanalizacija, nauja elektros instaliacija, uždaras kiemas, internetas, kabelinė televizija","Terasa, vieta automobiliui","Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, indaplovė, vonia","Šarvuotos durys, signalizacija, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-didzioji-g-nuo-rugsejo-1d-nuomojamas-prabangiai-ir-4-736885/
Senamiestyje,Trakų ,85.8,1800,251.76,FALSE,3,2,3,2012,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-traku-g-nuomojamas-prabangiai-irengtas-butas-pacioje-4-813845/
Senamiestyje,Aušros Vartų ,94,1900,242.52,FALSE,4,1,3,2009,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Internetas, kabelinė televizija, virtuvė sujungta su kambariu, butas per kelis aukštus, uždaras kiemas, aukštos lubos","Vieta automobiliui, drabužinė","Viryklė, su baldais, šaldytuvas, indaplovė, virtuvės komplektas, skalbimo mašina, vonia, dušo kabina","Šarvuotos durys, videokameros, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-ausros-vartu-g-nuomojamas-erdvus-dizaineriu-irengtas-4-4-840675/
Naujamiestyje,K. Kalinausko ,90,1800,240,FALSE,3,3,7,2018,0,FALSE,Mūrinis,"Centrinis kolektorinis, kita",Įrengtas,"Nauja kanalizacija, nauja elektros instaliacija, internetas, kabelinė televizija, virtuvė sujungta su kambariu","Terasa, balkonas, vieta automobiliui","Šildomos grindys, viryklė, su baldais, kondicionierius, indaplovė, šaldytuvas, virtuvės komplektas, plastikiniai vamzdžiai, skalbimo mašina, vonia, dušo kabina","Kodinė laiptinės spyna, šarvuotos durys, videokameros, signalizacija, budintis sargas",http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-k-kalinausko-g-prestiziniai-triju-kambariu-apartamentai-4-839623/
Senamiestyje,Gedimino p,40.3,800,238.2,FALSE,2,4,5,2006,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-gedimino-pr-isnuomojamas-gerai-irengtas-2-kambariu-40-m-4-816041/
Senamiestyje,Šiaulių ,87,1700,234.48,FALSE,3,2,4,2009,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,"Aukštos lubos, tualetas ir vonia atskirai, internetas, kabelinė televizija, virtuvė sujungta su kambariu",,"Skalbimo mašina, su baldais, vonia","Signalizacija, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-siauliu-g-prestiziniame-projekte-vilniaus-senamiestyje-4-766539/
Senamiestyje,Vokiečių ,87,1690,233.16,FALSE,3,2,4,2009,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-vokieciu-g-isnuomojamas-erdvus-3-kambariu-87-kvm-4-839267/
Senamiestyje,Šiaulių ,87,1690,233.16,FALSE,3,2,4,2009,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-siauliu-g-isnuomojamas-erdvus-3-kambariu-butas-87-kvm-4-828889/
Senamiestyje,Gedimino p,83.33,1600,230.4,TRUE,3,4,4,1901,2011,TRUE,Mūrinis,Centrinis kolektorinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-gedimino-pr-gedimino-pr-24-ajame-name-tapusiame-vienu-4-831379/
Užupyje,Polocko ,74,1400,227.04,FALSE,3,1,3,2018,0,FALSE,Mūrinis,"Centrinis kolektorinis, kita",Įrengtas,"Internetas, kabelinė televizija, uždaras kiemas, aukštos lubos","Terasa, vieta automobiliui","Indaplovė, skalbimo mašina, su baldais, viryklė, šaldytuvas, virtuvės komplektas, dušo kabina","Kodinė laiptinės spyna, šarvuotos durys, videokameros, signalizacija, budintis sargas",http://www.aruodas.lt/butu-nuoma-vilniuje-uzupyje-polocko-g-nuomojami-isskirtiniai-prabangiai-irengti-4-839771/
Užupyje,Polocko ,74,1400,227.04,TRUE,3,1,3,2018,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Atskiras įėjimas, nauja elektros instaliacija, uždaras kiemas, internetas, virtuvė sujungta su kambariu","Sandėliukas, terasa, vieta automobiliui","Skalbimo mašina, su baldais, šaldytuvas, šildomos grindys, virtuvės komplektas, viryklė, indaplovė, dušo kabina","Šarvuotos durys, signalizacija, kodinė laiptinės spyna, videokameros, budintis sargas",http://www.aruodas.lt/butu-nuoma-vilniuje-uzupyje-polocko-g-vilniaus-senojo-miesto-sirdyje-isikurusiose-4-827477/
Senamiestyje,L. Stuokos-Gucevičiaus ,64,1200,225,FALSE,2,3,3,2018,1940,TRUE,Mūrinis,"Elektra, kita",Įrengtas,"Aukštos lubos, butas palėpėje, nauja kanalizacija, nauja elektros instaliacija, uždaras kiemas, internetas, kabelinė televizija, virtuvė sujungta su kambariu","Vieta automobiliui, drabužinė","Kondicionierius, skalbimo mašina, su baldais, šaldytuvas, šildomos grindys, virtuvės komplektas, viryklė, indaplovė, vonia","Šarvuotos durys, signalizacija, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-l-stuokos-guceviciaus-g-pacioje-vilniaus-senamiescio-sirdyje-4-836251/
Naujamiestyje,Mindaugo ,24,450,225,FALSE,1,2,6,2017,0,FALSE,Mūrinis,Geoterminis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-mindaugo-g-naujos-statybos-name-naujai-irengta-studija-4-839119/
Senamiestyje,Vasario 16-osios ,64,1200,225,FALSE,2,4,5,1957,0,FALSE,Mūrinis,Centrinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-vasario-16-osios-g-isnuomojamas-erdvus-sviesus-ir-itin-4-827425/
Senamiestyje,Klaipėdos ,42,777,222,FALSE,2,1,2,1940,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,"Aukštos lubos, kabelinė televizija, internetas, virtuvė sujungta su kambariu",,"Su baldais, skalbimo mašina","Kodinė laiptinės spyna, šarvuotos durys, signalizacija",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-klaipedos-g-butas-turi-2-parkingo-vietas-uzdaram-kieme-4-840887/
Šnipiškėse,Olimpiečių ,98.25,1800,219.84,TRUE,3,3,6,2006,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,"Internetas, virtuvė sujungta su kambariu","Balkonas, vieta automobiliui","Kondicionierius, skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, vonia","Šarvuotos durys, signalizacija, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-olimpieciu-g-3-kambariu-butas-olimpieciu-g-1-vilniuje-4-828693/
Senamiestyje,Stiklių ,82,1500,219.48,FALSE,4,4,4,2006,0,FALSE,Mūrinis,Centrinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-stikliu-g-isnuomojamas-4-kambariu-82-m-naujos-4-750855/
Senamiestyje,Totorių ,52,950,219.24,FALSE,2,2,3,2017,0,FALSE,Mūrinis,Centrinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-totoriu-g-nuomojamas-sviesus-bei-jaukus-52-m-2-k-4-832317/
